Rank,Name,Country,Established,Academic Staff,Number of Students,Minimum Tuition cost,Volumes in the library,Endowment
1,Massachusetts Institute of Technology,us,1861,1069,11920,50000.0,1351391.0,24600000000.0
2,Harvard University,us,1636,2400,21613,50000.0,14440248.0,50700000000.0
3,Stanford University,us,1885,2323,17529,50000.0,6625926.0,36500000000.0
4,Cornell University,us,1865,1639,26284,50000.0,5270855.0,10700000000.0
6,University of Michigan,us,1817,8189,52065,15000.0,11963205.0,19200000000.0
7,University of Washington,us,1861,5803,50097,10000.0,5328078.0,6620000000.0
8,Columbia University in the City of New York,us,1754,4628,36649,50000.0,10966064.0,14800000000.0
9,University of California Los Angeles,us,1919,7941,48048,12500.0,14166096.0,7700000000.0
10,Yale University,us,1701,5499,12093,50000.0,8788525.0,41400000000.0
11,University of Pennsylvania,us,1740,4793,23374,50000.0,5195303.0,22300000000.0
12,University of WisconsinMadison,us,1848,2220,48557,10000.0,4743387.0,4000000000.0
13,The University of Texas at Austin,us,1883,3254,52384,10000.0,5210114.0,19720000000.0
14,University of Chicago,us,1891,2859,18452,50000.0,5562134.0,10400000000.0
15,Princeton University,us,1746,1068,8478,50000.0,7823350.0,35800000000.0
16,University of Minnesota Twin Cities,us,1851,4823,54890,15000.0,4133437.0,5366000000.0
17,Purdue University,us,1869,2974,52211,7500.0,953952.0,4099999999.9999995
18,University of California Davis,us,1905,2175,40848,12500.0,2197043.0,2000000000.0
19,University of Toronto,ca,1827,3246,64218,2500.0,N/D,2500000000.0
20,University of California San Diego,us,1960,10810,43381,12500.0,1461384.0,1360000000.0
22,New York University,us,1831,9835,59144,50000.0,3071277.0,6700000000.0
23,Penn State University,us,1855,8002,89816,17500.0,3325427.0,4500000000.0
24,University of Florida,us,1853,8231,54814,5000.0,4369176.0,2337000000.0
25,Michigan State University,us,1855,5703,52089,15000.0,3653771.0,4400000000.0
26,University of Southern California,us,1880,4767,49318,50000.0,3461030.0,7600000000.0
27,University of North Carolina at Chapel Hill,us,1789,4234,32234,7500.0,3876572.0,5100000000.0
28,Carnegie Mellon University,us,1900,1483,16335,50000.0,665370.0,3000000000.0
29,The University of British Columbia,ca,1908,5696,44882,5000.0,N/D,1940000000.0
30,Arizona State University,us,1885,5300,57144,10000.0,2432432.0,1590000000.0
31,Duke University,us,1838,3982,16780,50000.0,3411287.0,12700000000.0
32,University of Maryland,us,1856,4474,40792,10000.0,2159225.0,2100000000.0
33,Rutgers The State University of New Jersey,us,1766,4314,68942,15000.0,1756429.0,1990000000.0
34,University of Illinois UrbanaChampaign,us,1867,2548,59238,17500.0,5879486.0,3380000000.0
35,The Ohio State University,us,1870,7310,60046,10000.0,4273687.0,7900000000.0
36,University of Colorado Boulder,us,1876,3547,37153,12500.0,3089850.0,2100000000.0
37,Texas A&M University,us,1876,3845,72982,10000.0,2121425.0,17220000000.0
38,The University of Arizona,us,1885,3385,53187,10000.0,2454980.0,1290000000.0
39,University of California Irvine,us,1965,5343,37297,12500.0,1757187.0,795890000.0
40,Northwestern University,us,1851,4018,22801,50000.0,2848930.0,13700000000.0
41,University of Virginia,us,1819,3265,25944,17500.0,3491094.0,13600000000.0
42,Boston University,us,1869,4309,37557,50000.0,1304308.0,3500000000.0
43,North Carolina State University,us,1887,2464,37873,7500.0,1479212.0,2029999999.9999998
44,The University of Utah,us,1850,4858,35236,7500.0,2636251.0,1640000000.0
45,Indiana University Bloomington,us,1820,2149,48424,10000.0,5138304.0,3320000000.0
46,University of California Santa Barbara,us,1921,2749,26179,12500.0,3848817.0,578760000.0
47,McGill University,ca,1821,3476,39513,2500.0,N/D,1460000000.0
48,Georgetown University,us,1789,1500,19005,50000.0,1839683.0,3600000000.0
49,University of Pittsburgh,us,1787,5396,29927,20000.0,3542833.0,5680000000.0
50,Washington University in St. Louis,us,1853,4415,17012,50000.0,2093702.0,11500000000.0
51,Tufts University,us,1852,1288,13274,50000.0,823755.0,2600000000.0
52,University of NebraskaLincoln,us,1869,1595,23986,7500.0,1757277.0,2270000000.0
53,Virginia Polytechnic Institute and State University,us,1872,1395,36383,12500.0,1229344.0,1700000000.0
55,Brigham Young University,us,1875,1264,35074,5000.0,3936802.0,3080000000.0
56,University of Waterloo,ca,1957,1355,40513,5000.0,N/D,340540000.0
57,Georgia Institute of Technology,us,1885,1309,47961,12500.0,411568.0,2970000000.0
58,University of Georgia,us,1785,3119,40607,10000.0,4229493.0,1820000000.0
59,University of Rochester,us,1850,3253,12160,50000.0,1743680.0,3320000000.0
60,Brown University,us,1764,848,10737,50000.0,2697294.0,7200000000.0
61,California Institute of Technology,us,1891,300,2397,50000.0,276273.0,3600000000.0
62,University of Iowa,us,1847,2296,32199,7500.0,3478289.0,3300000000.0
63,Iowa State University,us,1858,1746,30432,7500.0,1427102.0,1880000000.0
64,Colorado State University,us,1870,1468,33648,10000.0,1196893.0,580500000.0
66,Simon Fraser University,ca,1965,1095,30380,5000.0,N/D,418760000.0
67,George Washington University,us,1821,2663,26457,50000.0,1129492.0,2800000000.0
68,University of Massachusetts Amherst,us,1863,1550,31810,15000.0,2123737.0,579000000.0
69,George Mason University,us,1957,2133,40185,12500.0,1134080.0,189200000.0
70,University of South Florida,us,1956,2253,48732,5000.0,1023168.0,798200000.0
71,Washington State University,us,1890,2261,31471,10000.0,1419196.0,1270000000.0
72,Florida State University,us,1851,2727,43701,5000.0,1717698.0,947000000.0
73,Vanderbilt University,us,1873,4783,13710,50000.0,1933535.0,10200000000.0
74,University of Alberta,ca,1908,4004,43490,5000.0,N/D,1180000000.0
75,Syracuse University,us,1870,1848,22698,50000.0,1570532.0,1900000000.0
76,University of Oregon,us,1876,1992,23202,12500.0,1712818.0,1470000000.0
79,University of Notre Dame,us,1844,1526,13174,50000.0,2293784.0,16620000000.000002
80,Dartmouth College,us,1769,943,6746,50000.0,1587461.0,7900000000.0
81,University of Connecticut,us,1881,4624,32669,17500.0,1408112.0,634000000.0
82,University of Houston,us,1927,3263,46676,7500.0,1591633.0,785770000.0
83,University at Buffalo State University of New York,us,1846,2509,32347,10000.0,1975468.0,1000000000.0
85,University of Illinois Chicago,us,1858,2961,33522,15000.0,1895501.0,803000000.0
86,University of California Riverside,us,1954,1638,26809,12500.0,4524786.0,249870000.0
87,Rice University,us,1891,680,8672,50000.0,1910805.0,7814000000.0
89,University of Central Florida,us,1963,1906,69320,5000.0,1702376.0,228700000.0
90,University of Missouri,us,1839,4215,31041,10000.0,2332981.0,1420000000.0
91,Georgia State University,us,1913,1586,50521,7500.0,1062996.0,170800000.0
92,Northeastern University,us,1898,3049,38760,50000.0,521531.0,1300000000.0
93,University of Calgary,ca,1966,1848,36330,5000.0,N/D,810000000.0
94,University of Kansas,us,1865,1566,13763,10000.0,5906680.0,2360000000.0
95,University of Delaware,us,1743,1328,24221,15000.0,3343094.0,1780000000.0
96,McMaster University,ca,1887,992,37589,2500.0,N/D,628970000.0
97,The University of Tennessee Knoxville,us,1794,1700,38728,12500.0,1562649.0,1010000000.0
99,University of Miami,us,1925,3513,19593,50000.0,1762243.0,1370000000.0
100,University of North Texas,us,1890,3327,46940,10000.0,1402690.0,340800000.0
101,Western University,ca,1878,1432,36205,5000.0,N/D,900000000.0
102,Universit de Montral,ca,1878,7329,66972,1000.0,N/D,278980000.0
103,University of South Carolina,us,1801,1604,38000,12500.0,1756797.0,989000000.0
104,University of Victoria,ca,1963,900,22060,2500.0,N/D,363380000.0
105,Boston College,us,1863,1848,15106,50000.0,1495059.0,3300000000.0
106,Louisiana State University,us,1860,1500,37354,10000.0,2755252.0,664200000.0
107,Florida International University,us,1965,7665,54085,5000.0,1356769.0,276000000.0
108,San Diego State University,us,1897,2135,37539,7500.0,1200643.0,415700000.0
109,Temple University,us,1884,2125,30005,15000.0,1863984.0,839000000.0
111,University of Cincinnati,us,1819,3789,53235,10000.0,2837726.0,1920000000.0
112,Clemson University,us,1889,2103,28747,15000.0,721652.0,994000000.0
113,University of New Hampshire,us,1866,997,14784,17500.0,992229.0,475100000.0
114,Rochester Institute of Technology,us,1829,1547,20570,50000.0,312388.0,1274000000.0
115,University of Vermont,us,1791,4125,14088,17500.0,1179730.0,896000000.0
116,Utah State University,us,1888,1101,28900,7500.0,1238984.0,538400000.0
118,Queen's University,ca,1841,3925,33842,5000.0,N/D,980000000.0
120,Case Western Reserve University,us,1826,1182,12475,50000.0,1184207.0,2397000000.0
121,Fordham University,us,1841,747,16556,50000.0,1099406.0,972000000.0
122,Virginia Commonwealth University,us,1838,3279,28919,15000.0,1357099.0,2720000000.0
123,The University of Oklahoma,us,1890,3752,34523,7500.0,4359162.0,1810000000.0
124,Oklahoma State University,us,1890,1337,26805,7500.0,1977786.0,1004000000.0
